Time,      Temp,     X,      Y,      Z
2021-10-27 00:00:07,23.19,-24574,-56972,-19688
2021-10-27 00:00:24,23.12,-24576,-56968,-19690
2021-10-27 00:00:41,23.12,-24569,-56972,-19688
2021-10-27 00:00:58,23.19,-24573,-56972,-19688
2021-10-27 00:01:15,23.19,-24572,-56974,-19692
2021-10-27 00:01:32,23.19,-24573,-56973,-19686
2021-10-27 00:01:49,23.19,-24573,-56975,-19691
2021-10-27 00:02:06,23.19,-24574,-56975,-19686
2021-10-27 00:02:23,23.12,-24572,-56968,-19693
2021-10-27 00:02:40,23.19,-24573,-56974,-19689
2021-10-27 00:02:57,23.19,-24573,-56978,-19697
2021-10-27 00:03:14,23.19,-24567,-56973,-19690
2021-10-27 00:03:31,23.12,-24569,-56974,-19692
2021-10-27 00:03:48,23.19,-24567,-56973,-19689
2021-10-27 00:04:05,23.19,-24569,-56974,-19692
2021-10-27 00:04:22,23.25,-24359,-57150,-19602
2021-10-27 00:15:23,23.12,-24328,-57189,-19596
2021-10-27 00:15:40,23.06,-24333,-57181,-19593
2021-10-27 00:15:57,23.06,-24327,-57187,-19599
2021-10-27 00:16:14,23.12,-24329,-57180,-19594
2021-10-27 00:16:31,23.12,-24326,-57188,-19599
2021-10-27 00:16:48,23.12,-24327,-57185,-19597
2021-10-27 00:17:05,23.12,-24326,-57184,-19601
2021-10-27 00:17:23,23.12,-24325,-57183,-19600
2021-10-27 00:17:40,23.12,-24327,-57185,-19595
2021-10-27 00:17:57,23.12,-24320,-57184,-19604
2021-10-27 00:18:14,23.06,-24323,-57179,-19597
2021-10-27 00:18:31,23.12,-24322,-57188,-19600
2021-10-27 00:18:48,23.12,-24327,-57183,-19595
2021-10-27 00:19:05,23.12,-24318,-57188,-19598
2021-10-27 00:19:22,23.12,-24321,-57187,-19599
2021-10-27 00:19:39,23.12,-24320,-57186,-19596
2021-10-27 00:19:56,23.12,-24320,-57188,-19598
2021-10-27 00:20:14,23.12,-24317,-57190,-19596
2021-10-27 00:20:31,23.19,-24317,-57191,-19603
2021-10-27 00:20:48,23.12,-24319,-57186,-19599
2021-10-27 00:21:05,23.12,-24317,-57191,-19601
2021-10-27 00:21:22,23.19,-24316,-57190,-19600
2021-10-27 00:21:40,23.19,-24313,-57188,-19597
2021-10-27 00:21:57,23.19,-24315,-57191,-19597
2021-10-27 00:22:14,23.19,-24317,-57188,-19595
2021-10-27 00:22:31,23.19,-24317,-57190,-19600
2021-10-27 00:22:48,23.19,-24317,-57184,-19595
2021-10-27 00:23:06,23.12,-24314,-57191,-19593
2021-10-27 00:23:23,23.12,-24317,-57187,-19602
2021-10-27 00:23:40,23.19,-24315,-57187,-19597
2021-10-27 00:23:57,23.19,-24313,-57187,-19596
2021-10-27 00:24:14,23.19,-24317,-57185,-19594
2021-10-27 00:24:31,23.19,-24314,-57189,-19602
2021-10-27 00:24:48,23.19,-24317,-57188,-19598
2021-10-27 00:25:06,23.19,-24317,-57186,-19596
2021-10-27 00:25:23,23.19,-24314,-57187,-19602
2021-10-27 00:25:40,23.12,-24312,-57185,-19601
2021-10-27 00:25:57,23.19,-24309,-57189,-19600
2021-10-27 00:26:14,23.19,-24311,-57183,-19600
2021-10-27 00:26:31,23.19,-24310,-57189,-19602
2021-10-27 00:26:48,23.19,-24310,-57187,-19599
2021-10-27 00:27:05,23.19,-24309,-57183,-19603
2021-10-27 00:27:23,23.19,-24309,-57190,-19603
2021-10-27 00:27:40,23.19,-24308,-57187,-19600
2021-10-27 00:27:57,23.19,-24306,-57191,-19598
2021-10-27 00:28:14,23.19,-24314,-57189,-19599
2021-10-27 00:28:31,23.19,-24307,-57191,-19602
2021-10-27 00:28:48,23.19,-24309,-57188,-19601
2021-10-27 00:29:05,23.19,-24309,-57192,-19606
2021-10-27 00:29:22,23.19,-24307,-57190,-19601
2021-10-27 00:29:39,23.19,-24308,-57193,-19602
2021-10-27 00:29:56,23.25,-24311,-57194,-19602
2021-10-27 00:30:13,23.19,-24308,-57192,-19605
2021-10-27 00:30:31,23.25,-24307,-57189,-19604
2021-10-27 00:30:48,23.19,-24305,-57190,-19598
2021-10-27 00:31:05,23.25,-24308,-57191,-19606
2021-10-27 00:31:22,23.19,-24308,-57191,-19598
2021-10-27 00:31:39,23.25,-24307,-57191,-19607
2021-10-27 00:31:56,23.25,-24305,-57189,-19600
2021-10-27 00:32:13,23.25,-24304,-57190,-19607
2021-10-27 00:32:30,23.19,-24305,-57192,-19603
2021-10-27 00:32:47,23.25,-24303,-57192,-19606
2021-10-27 00:33:04,23.25,-24305,-57189,-19605
2021-10-27 00:33:22,23.19,-24304,-57190,-19601
2021-10-27 00:33:39,23.19,-24304,-57193,-19607
2021-10-27 00:33:56,23.25,-24303,-57187,-19598
2021-10-27 00:34:13,23.25,-24300,-57188,-19605
2021-10-27 00:34:30,23.25,-24302,-57186,-19600
2021-10-27 00:34:47,23.25,-24301,-57185,-19608
2021-10-27 00:35:04,23.25,-24305,-57189,-19602
2021-10-27 00:35:21,23.19,-24302,-57185,-19603
2021-10-27 00:35:38,23.25,-24302,-57190,-19605
2021-10-27 00:35:56,23.19,-24302,-57184,-19598
2021-10-27 00:36:13,23.25,-24298,-57184,-19603
2021-10-27 00:36:30,23.19,-24299,-57187,-19603
2021-10-27 00:36:47,23.19,-24299,-57190,-19607
2021-10-27 00:37:05,23.25,-24301,-57189,-19604
2021-10-27 00:37:22,23.25,-24302,-57188,-19605
2021-10-27 00:37:39,23.25,-24299,-57189,-19606
2021-10-27 00:37:56,23.25,-24302,-57187,-19601
2021-10-27 00:38:13,23.25,-24300,-57189,-19606
2021-10-27 00:38:30,23.25,-24300,-57187,-19603
2021-10-27 00:38:47,23.25,-24300,-57187,-19613
2021-10-27 00:39:04,23.25,-24299,-57189,-19602
2021-10-27 00:39:21,23.25,-24296,-57189,-19609
2021-10-27 00:39:38,23.25,-24295,-57185,-19602
2021-10-27 00:39:55,23.19,-24297,-57187,-19605
2021-10-27 00:40:12,23.25,-24297,-57184,-19604
2021-10-27 00:40:29,23.25,-24294,-57187,-19606
2021-10-27 00:40:47,23.25,-24293,-57185,-19607
2021-10-27 00:41:04,23.25,-24297,-57187,-19605
2021-10-27 00:41:21,23.25,-24293,-57191,-19611
2021-10-27 00:41:38,23.25,-24293,-57188,-19608
2021-10-27 00:41:55,23.25,-24294,-57188,-19607
